Season	Club	Squad	Average age	Foreigners	Average market value	Total market value
19/20	Manchester City	35	25.4	25	€29.96m	€1.05bn
19/20	Liverpool FC	56	23.8	32	€17.90m	€1.00bn
19/20	Tottenham Hotspur	36	25.3	22	€22.41m	€806.80m
19/20	Chelsea FC	36	24.7	23	€19.61m	€705.85m
19/20	Manchester United	43	24.4	26	€15.59m	€670.45m
19/20	Arsenal FC	38	24.8	24	€15.99m	€607.65m
19/20	Everton FC	35	26.5	22	€12.02m	€420.55m
19/20	Leicester City	32	26.4	19	€12.85m	€411.10m
19/20	Wolverhampton Wanderers	44	23.6	30	€7.28m	€320.33m
19/20	West Ham United	38	27.0	25	€7.99m	€303.60m
19/20	AFC Bournemouth	39	25.4	17	€6.98m	€272.18m
19/20	Newcastle United	41	26.6	24	€6.16m	€252.48m
19/20	Aston Villa	38	26.2	22	€6.10m	€231.70m
19/20	Southampton FC	36	25.0	20	€5.85m	€210.75m
19/20	Brighton & Hove Albion	45	25.3	29	€4.46m	€200.78m
19/20	Watford FC	43	26.2	27	€4.64m	€199.60m
19/20	Crystal Palace	33	27.4	18	€5.74m	€189.33m
19/20	Burnley FC	35	26.8	12	€4.68m	€163.88m
19/20	Norwich City	38	26.0	25	€3.82m	€145.33m
19/20	Sheffield United	34	27.9	16	€4.08m	€138.60m
20/21	Manchester City	36	25.3	23	€29.01m	€1.04bn
20/21	Liverpool FC	43	24.9	28	€22.55m	€969.65m
20/21	Chelsea FC	39	25.7	23	€22.80m	€889.20m
20/21	Manchester United	39	25.4	25	€19.74m	€770.05m
20/21	Tottenham Hotspur	41	25.2	23	€17.16m	€703.50m
20/21	Arsenal FC	42	24.9	27	€14.74m	€619.25m
20/21	Everton FC	44	25.2	27	€11.62m	€511.20m
20/21	Leicester City	40	25.8	26	€12.77m	€510.60m
20/21	Wolverhampton Wanderers	38	24.4	32	€11.85m	€450.30m
20/21	Aston Villa	53	23.9	24	€8.13m	€430.70m
20/21	West Ham United	39	27.0	23	€8.59m	€334.90m
20/21	Brighton & Hove Albion	46	24.9	30	€6.31m	€290.40m
20/21	Southampton FC	39	25.0	22	€7.25m	€282.80m
20/21	Newcastle United	33	27.4	18	€7.74m	€255.35m
20/21	Fulham FC	38	27.0	30	€6.31m	€239.75m
20/21	Leeds United	39	25.1	24	€6.11m	€238.10m
20/21	Crystal Palace	36	28.2	18	€5.38m	€193.85m
20/21	Sheffield United	40	25.4	16	€3.75m	€149.85m
20/21	West Bromwich Albion	43	26.6	18	€3.28m	€141.15m
20/21	Burnley FC	32	27.1	11	€4.13m	€132.30m
21/22	Manchester City	39	24.7	23	€25.74m	€1.00bn
21/22	Liverpool FC	49	24.5	29	€18.75m	€918.90m
21/22	Chelsea FC	44	25.6	25	€20.78m	€914.50m
21/22	Manchester United	43	26.0	28	€17.89m	€769.15m
21/22	Tottenham Hotspur	45	24.0	26	€15.32m	€689.35m
21/22	Arsenal FC	41	24.0	24	€14.95m	€613.05m
21/22	Leicester City	40	25.7	25	€13.16m	€526.55m
21/22	Aston Villa	44	24.8	21	€11.09m	€487.75m
21/22	Everton FC	42	26.0	24	€11.41m	€479.05m
21/22	Wolverhampton Wanderers	38	24.8	30	€9.92m	€376.95m
21/22	West Ham United	36	26.4	20	€9.86m	€354.90m
21/22	Brighton & Hove Albion	43	24.6	31	€7.40m	€318.00m
21/22	Newcastle United	34	27.9	18	€9.23m	€313.90m
21/22	Leeds United	35	24.0	20	€8.56m	€299.45m
21/22	Southampton FC	33	25.6	19	€8.31m	€274.30m
21/22	Brentford FC	38	24.7	27	€7.19m	€273.30m
21/22	Crystal Palace	33	26.5	16	€8.21m	€271.05m
21/22	Norwich City	45	24.7	29	€3.63m	€163.20m
21/22	Watford FC	47	26.4	35	€3.32m	€156.20m
21/22	Burnley FC	35	27.9	16	€3.94m	€137.85m
22/23	Manchester City	34	26.0	21	€33.70m	€1.15bn
22/23	Arsenal FC	42	24.0	25	€23.83m	€1.00bn
22/23	Chelsea FC	43	25.2	27	€23.14m	€994.95m
22/23	Manchester United	48	25.4	29	€17.67m	€848.00m
22/23	Liverpool FC	39	25.6	24	€20.82m	€811.85m
22/23	Tottenham Hotspur	34	25.9	21	€19.09m	€649.10m
22/23	Newcastle United	38	28.3	21	€14.25m	€541.60m
22/23	Brighton & Hove Albion	42	24.1	28	€12.61m	€529.80m
22/23	Aston Villa	43	25.4	23	€11.85m	€509.55m
22/23	Wolverhampton Wanderers	43	25.8	34	€11.57m	€497.65m
22/23	Leicester City	38	26.4	23	€12.92m	€490.80m
22/23	West Ham United	44	25.4	24	€10.59m	€465.75m
22/23	Southampton FC	46	24.8	25	€9.13m	€419.95m
22/23	Everton FC	40	26.9	21	€10.33m	€413.15m
22/23	Nottingham Forest	50	26.6	29	€7.53m	€376.25m
22/23	Brentford FC	36	25.3	26	€10.31m	€371.20m
22/23	Leeds United	47	24.0	31	€7.34m	€345.15m
22/23	Crystal Palace	39	25.4	19	€8.28m	€323.05m
22/23	Fulham FC	47	25.9	34	€6.28m	€295.25m
22/23	AFC Bournemouth	47	25.0	23	€6.11m	€287.20m
23/24	Manchester City	36	25.7	21	€40.63m	€1.46bn
23/24	Arsenal FC	40	24.6	23	€30.08m	€1.20bn
23/24	Chelsea FC	56	22.2	26	€18.12m	€1.01bn
23/24	Liverpool FC	45	24.2	30	€21.24m	€955.85m
23/24	Tottenham Hotspur	41	25.6	27	€20.45m	€838.50m
23/24	Manchester United	46	24.9	27	€17.58m	€808.75m
23/24	Aston Villa	45	25.0	23	€15.78m	€709.90m
23/24	Newcastle United	45	26.3	20	€14.50m	€652.65m
23/24	Brighton & Hove Albion	49	24.2	32	€10.70m	€524.40m
23/24	Nottingham Forest	46	26.6	35	€10.90m	€501.35m
23/24	West Ham United	36	26.6	19	€13.54m	€487.50m
23/24	Crystal Palace	40	25.1	17	€11.17m	€446.78m
23/24	Wolverhampton Wanderers	47	23.9	32	€9.43m	€443.23m
23/24	Brentford FC	42	25.0	29	€10.21m	€429.03m
23/24	AFC Bournemouth	42	25.7	26	€9.57m	€401.90m
23/24	Everton FC	34	26.8	16	€11.52m	€391.75m
23/24	Fulham FC	35	26.9	31	€10.98m	€384.35m
23/24	Burnley FC	39	25.3	30	€7.01m	€273.48m
23/24	Sheffield United	45	24.7	26	€3.39m	€152.45m
23/24	Luton Town	46	25.7	22	€3.06m	€140.90m
