match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872248	3.0	3.0	4.0	4.0	10.0	5.0	2.0	5.0	6.0	1.0	9.0	7.0	9.0	1.0	1.0	0.0	2.0	0.0
2872249	3.0	4.0	3.0	5.0	10.0	12.0	0.0	7.0	4.0	1.0	5.0	12.0	10.0	0.0	2.0	0.0	1.0	0.0
2872250	4.0	2.0	1.0	1.0	13.0	13.0	0.0	4.0	6.0	2.0	6.0	13.0	11.0	2.0	0.0	0.0	0.0	0.0
2872245	1.0	4.0	2.0	4.0	10.0	9.0	0.0	4.0	2.0	0.0	6.0	9.0	10.0	0.0	0.0	0.0	1.0	0.0
2872246	7.0	7.0	3.0	7.0	15.0	11.0	2.0	3.0	3.0	1.0	2.0	13.0	12.0	3.0	0.0	0.0	1.0	0.0
2872252	4.0	1.0	2.0	2.0	5.0	15.0	2.0	2.0	3.0	0.0	6.0	17.0	4.0	1.0	2.0	0.0	1.0	0.0
2872251	10.0	5.0	1.0	15.0	10.0	8.0	0.0	0.0	1.0	7.0	1.0	8.0	10.0	0.0	1.0	0.0	0.0	0.0
2872254	1.0	5.0	4.0	5.0	12.0	8.0	4.0	7.0	3.0	0.0	9.0	12.0	10.0	2.0	1.0	0.0	5.0	0.0
2872253	12.0	7.0	1.0	6.0	12.0	13.0	1.0	2.0	3.0	10.0	5.0	14.0	11.0	1.0	1.0	0.0	1.0	0.0
2872258	8.0	8.0	1.0	11.0	14.0	8.0	2.0	2.0	3.0	5.0	4.0	10.0	13.0	1.0	0.0	0.0	1.0	0.0
2872259	4.0	0.0	3.0	2.0	9.0	14.0	1.0	3.0	2.0	2.0	5.0	15.0	9.0	0.0	2.0	0.0	1.0	0.0
2872257	2.0	3.0	2.0	2.0	8.0	8.0	0.0	7.0	2.0	1.0	2.0	8.0	6.0	2.0	1.0	0.0	0.0	0.0
2872260	3.0	6.0	3.0	10.0	18.0	3.0	1.0	3.0	7.0	2.0	7.0	4.0	12.0	6.0	0.0	0.0	2.0	0.0
2872262	4.0	5.0	2.0	2.0	11.0	11.0	3.0	3.0	2.0	2.0	6.0	14.0	11.0	0.0	2.0	0.0	0.0	0.0
2872256	14.0	5.0	1.0	12.0	8.0	9.0	4.0	4.0	1.0	14.0	1.0	13.0	8.0	0.0	3.0	0.0	2.0	1.0
2872263	2.0	2.0	1.0	7.0	20.0	16.0	1.0	2.0	2.0	1.0	2.0	17.0	10.0	10.0	4.0	0.0	1.0	1.0
