match_id	home_total_shots	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
3050382	5	4	6	12	11	1	5	3	5	12	10	2	1	0
3050383	7	1	7	5	11	1	1	3	10	12	5	0	0	1
3050385	4	3	1	16	19	2	3	3	7	21	7	9	1	2
3050384	4	1	7	13	12	3	2	3	6	15	11	2	1	1
3050380	2	1	1	11	10	2	4	2	4	12	9	2	2	2
3050377	5	1	5	15	12	1	1	3	6	13	15	0	0	2
3050389	8	5	10	6	11	1	7	4	1	12	5	1	2	3
3050379	4	3	7	9	10	7	5	4	10	17	8	1	2	3
3050390	2	4	3	9	14	0	5	2	4	14	9	0	1	6
3050387	4	1	4	13	14	0	1	2	7	14	12	1	3	3
3050391	9	0	5	10	8	2	0	6	1	10	10	0	4	1
3050392	9	2	11	11	10	2	4	6	3	12	8	3	1	3
3050393	2	2	1	11	9	2	4	0	8	11	6	5	2	3
3050388	7	7	3	12	7	1	7	3	7	8	6	6	1	0
3050394	4	2	3	8	11	2	3	3	8	13	8	0	2	3
3050395	3	1	7	9	14	4	2	2	1	18	6	3	1	3
3050396	5	0	9	13	7	1	1	5	5	8	8	5	0	4
3050398	6	3	4	8	10	2	4	5	2	12	8	0	3	1
3050400	7	2	11	5	8	2	2	2	2	10	4	1	0	0
3050397	4	1	7	12	13	4	1	4	0	17	12	0	1	0
3050405	4	2	6	7	6	2	2	1	3	8	5	2	0	1
3050402	4	1	3	14	11	2	4	3	1	13	13	1	3	1
3050399	5	2	6	13	16	2	2	3	7	18	13	0	1	2
3050401	7	0	11	11	9	1	0	5	1	10	10	1	2	3
3050403	6	5	7	10	13	0	6	8	2	13	9	1	4	4
3050404	12	1	4	8	12	5	2	9	2	17	8	0	1	1
3050409	4	4	5	12	11	2	7	4	4	13	9	3	3	2
3050406	2	6	2	14	9	1	8	1	5	10	11	3	1	1
3050408	5	3	10	10	11	4	4	4	4	15	9	1	3	0
