Season,Club,Squad,Average age,Foreigners,Total market value
19/20,Newcastle United,41,26.6,24,0.1420512273970656
19/20,Aston Villa,38,26.2,22,0.12728693736900065
19/20,Southampton FC,36,25.0,20,0.1124018615226118
19/20,Brighton & Hove Albion,45,25.3,29,0.1053181285303208
19/20,Watford FC,43,26.2,27,0.10447973285019005
19/20,Crystal Palace,33,27.4,18,0.09718284841379801
19/20,Burnley FC,35,26.8,12,0.07910050090589363
19/20,Norwich City,38,26.0,25,0.06592063661231305
19/20,Sheffield United,34,27.9,16,0.06113893921631318
20/21,Manchester City,36,25.3,23,0.7015879782585526
20/21,Liverpool FC,43,24.9,28,0.6516039646168603
20/21,Chelsea FC,39,25.7,23,0.5944438523570996
20/21,Manchester United,39,25.4,25,0.5097872038083058
20/21,Tottenham Hotspur,41,25.2,23,0.4625031084585598
20/21,Arsenal FC,42,24.9,27,0.4026430779068528
20/21,Everton FC,44,25.2,27,0.3258730327897971
20/21,Leicester City,40,25.8,26,0.32544672990159507
20/21,Wolverhampton Wanderers,38,24.4,32,0.28260328963728726
20/21,Aston Villa,53,23.9,24,0.2686773952893531
20/21,West Ham United,39,27.0,23,0.20061103413975626
20/21,Brighton & Hove Albion,46,24.9,30,0.16899356993143627
20/21,Southampton FC,39,25.0,22,0.16359373334754343
20/21,Newcastle United,33,27.4,18,0.14409037621229884
20/21,Fulham FC,38,27.0,30,0.13300650111904508
20/21,Leeds United,39,25.1,24,0.13183416817648938
20/21,Crystal Palace,36,28.2,18,0.10039433017158692
20/21,Sheffield United,40,25.4,16,0.06913211837010196
20/21,West Bromwich Albion,43,26.6,18,0.06295072649117198
20/21,Burnley FC,32,27.1,11,0.056662758890191484
21/22,Manchester City,39,24.7,23,0.6731677857117482
21/22,Liverpool FC,49,24.5,29,0.615545845323102
21/22,Chelsea FC,44,25.6,25,0.6124196241429536
21/22,Manchester United,43,26.0,28,0.5091477494760026
21/22,Tottenham Hotspur,45,24.0,26,0.4524494653451277
21/22,Arsenal FC,41,24.0,24,0.39823794806209806
21/22,Leicester City,40,25.7,25,0.33677928167963334
21/22,Aston Villa,44,24.8,21,0.309211694909233
21/22,Everton FC,42,26.0,24,0.30303030303030304
21/22,Wolverhampton Wanderers,38,24.8,30,0.2304877615545845
21/22,West Ham United,36,26.4,20,0.21482113041315853
21/22,Brighton & Hove Albion,43,24.6,31,0.1886035027887314
21/22,Newcastle United,34,27.9,18,0.1856904330526839
21/22,Leeds United,35,24.0,20,0.17542363849515077
21/22,Southampton FC,33,25.6,19,0.15755444243134747
21/22,Brentford FC,38,24.7,27,0.15684393761767737
21/22,Crystal Palace,33,26.5,16,0.15524530178691962
21/22,Norwich City,45,24.7,29,0.07861735763259795
21/22,Watford FC,47,26.4,35,0.07364382393690716
21/22,Burnley FC,35,27.9,16,0.06060606060606061
22/23,Manchester City,34,26.0,21,0.779743507762265
22/23,Arsenal FC,42,24.0,25,0.6731677857117482
22/23,Chelsea FC,43,25.2,27,0.6695797364027141
22/23,Manchester United,48,25.4,29,0.565171054033891
22/23,Liverpool FC,39,25.6,24,0.5394863050197165
22/23,Tottenham Hotspur,34,25.9,21,0.42385164659490565
22/23,Newcastle United,38,28.3,21,0.34747237912536855
22/23,Brighton & Hove Albion,42,24.1,28,0.33908842232406117
22/23,Aston Villa,43,25.4,23,0.3247006998472414
22/23,Wolverhampton Wanderers,43,25.8,34,0.3162456925645671
22/23,Leicester City,38,26.4,23,0.31137873459092685
22/23,West Ham United,44,25.4,24,0.2935805890084905
22/23,Southampton FC,46,24.8,25,0.26103946854239934
22/23,Everton FC,40,26.9,21,0.25620803580944257
22/23,Nottingham Forest,50,26.6,29,0.22999040818501543
22/23,Brentford FC,36,25.3,26,0.22640235887598137
22/23,Leeds United,47,24.0,31,0.20789370847987493
22/23,Crystal Palace,39,25.4,19,0.19219155209776545
22/23,Fulham FC,47,25.9,34,0.17243951827773632
22/23,AFC Bournemouth,47,25.0,23,0.1667199545276919
23/24,Manchester City,36,25.7,21,0.9999999999999998
